Nitrogen (N2)	N2(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
100	29.104	159.811	217.490	-5.768	0.	0.	0.
200	29.107	179.985	194.272	-2.857	0.	0.	0.
250	29.111	186.481	192.088	-1.402	0.	0.	0.
298.15	29.124	191.609	191.609	0.	0.	0.	0.
300	29.125	191.789	191.610	-0.054	0.	0.	0.
350	29.165	196.281	191.964	-1.511	0.	0.	0.
400	29.249	200.181	192.753	-2.971	0.	0.	0.
450	29.387	203.633	193.774	-4.437	0.	0.	0.
500	29.580	206.739	194.917	-5.911	0.	0.	0.
600	30.110	212.176	197.353	-8.894	0.	0.	0.
700	30.754	216.866	199.813	-11.937	0.	0.	0.
800	31.433	221.017	202.209	-15.046	0.	0.	0.
